ip_address,ip_type,service,region
4.171.26.72/29,IPv4,PowerBI.QatarCentral,qatarcentral
20.21.32.22/31,IPv4,PowerBI.QatarCentral,qatarcentral
20.21.36.124/30,IPv4,PowerBI.QatarCentral,qatarcentral
20.21.37.48/29,IPv4,PowerBI.QatarCentral,qatarcentral
20.21.55.216/29,IPv4,PowerBI.QatarCentral,qatarcentral
20.21.80.22/31,IPv4,PowerBI.QatarCentral,qatarcentral
20.21.83.144/29,IPv4,PowerBI.QatarCentral,qatarcentral
20.21.88.32/27,IPv4,PowerBI.QatarCentral,qatarcentral
2603:1040:1002:1::400/122,IPv6,PowerBI.QatarCentral,qatarcentral
2603:1040:1002:1::440/123,IPv6,PowerBI.QatarCentral,qatarcentral
