ip_address,ip_type,service,region
40.117.25.224/28,IPv4,PowerBI.SouthAfricaWest,southafricawest
102.37.81.140/30,IPv4,PowerBI.SouthAfricaWest,southafricawest
102.37.85.208/29,IPv4,PowerBI.SouthAfricaWest,southafricawest
102.133.56.98/31,IPv4,PowerBI.SouthAfricaWest,southafricawest
102.133.56.100/30,IPv4,PowerBI.SouthAfricaWest,southafricawest
102.133.56.104/29,IPv4,PowerBI.SouthAfricaWest,southafricawest
172.209.83.216/29,IPv4,PowerBI.SouthAfricaWest,southafricawest
172.209.83.224/27,IPv4,PowerBI.SouthAfricaWest,southafricawest
2603:1000:4::620/123,IPv6,PowerBI.SouthAfricaWest,southafricawest
2603:1000:4::640/122,IPv6,PowerBI.SouthAfricaWest,southafricawest
