ip_address,ip_type,service,region
4.222.196.192/26,IPv4,PowerPlatformInfra.SouthAfricaNorth,southafricanorth
4.222.197.0/25,IPv4,PowerPlatformInfra.SouthAfricaNorth,southafricanorth
20.87.80.0/29,IPv4,PowerPlatformInfra.SouthAfricaNorth,southafricanorth
40.127.10.187/32,IPv4,PowerPlatformInfra.SouthAfricaNorth,southafricanorth
40.127.11.11/32,IPv4,PowerPlatformInfra.SouthAfricaNorth,southafricanorth
40.127.14.98/32,IPv4,PowerPlatformInfra.SouthAfricaNorth,southafricanorth
40.127.14.104/32,IPv4,PowerPlatformInfra.SouthAfricaNorth,southafricanorth
40.127.23.12/32,IPv4,PowerPlatformInfra.SouthAfricaNorth,southafricanorth
102.37.166.224/27,IPv4,PowerPlatformInfra.SouthAfricaNorth,southafricanorth
102.37.167.0/26,IPv4,PowerPlatformInfra.SouthAfricaNorth,southafricanorth
102.133.132.151/32,IPv4,PowerPlatformInfra.SouthAfricaNorth,southafricanorth
102.133.219.144/28,IPv4,PowerPlatformInfra.SouthAfricaNorth,southafricanorth
102.133.219.160/28,IPv4,PowerPlatformInfra.SouthAfricaNorth,southafricanorth
102.133.219.192/26,IPv4,PowerPlatformInfra.SouthAfricaNorth,southafricanorth
102.133.221.24/29,IPv4,PowerPlatformInfra.SouthAfricaNorth,southafricanorth
2603:1061:2002:2800::/57,IPv6,PowerPlatformInfra.SouthAfricaNorth,southafricanorth
