ip_address,ip_type,service,region
20.49.145.249/32,IPv4,PowerPlatformInfra.UKSouth,uksouth
20.49.166.40/32,IPv4,PowerPlatformInfra.UKSouth,uksouth
20.49.166.118/32,IPv4,PowerPlatformInfra.UKSouth,uksouth
20.49.166.129/32,IPv4,PowerPlatformInfra.UKSouth,uksouth
20.49.244.238/32,IPv4,PowerPlatformInfra.UKSouth,uksouth
20.90.131.0/26,IPv4,PowerPlatformInfra.UKSouth,uksouth
20.90.131.64/27,IPv4,PowerPlatformInfra.UKSouth,uksouth
20.90.131.120/29,IPv4,PowerPlatformInfra.UKSouth,uksouth
20.90.169.112/32,IPv4,PowerPlatformInfra.UKSouth,uksouth
20.90.240.169/32,IPv4,PowerPlatformInfra.UKSouth,uksouth
20.108.81.107/32,IPv4,PowerPlatformInfra.UKSouth,uksouth
51.11.24.198/32,IPv4,PowerPlatformInfra.UKSouth,uksouth
51.11.25.68/32,IPv4,PowerPlatformInfra.UKSouth,uksouth
51.11.25.172/32,IPv4,PowerPlatformInfra.UKSouth,uksouth
51.11.172.30/32,IPv4,PowerPlatformInfra.UKSouth,uksouth
51.11.172.56/32,IPv4,PowerPlatformInfra.UKSouth,uksouth
51.11.172.160/32,IPv4,PowerPlatformInfra.UKSouth,uksouth
51.104.30.172/30,IPv4,PowerPlatformInfra.UKSouth,uksouth
51.104.30.192/26,IPv4,PowerPlatformInfra.UKSouth,uksouth
51.104.31.0/27,IPv4,PowerPlatformInfra.UKSouth,uksouth
51.104.31.32/28,IPv4,PowerPlatformInfra.UKSouth,uksouth
51.104.31.48/29,IPv4,PowerPlatformInfra.UKSouth,uksouth
51.104.31.64/26,IPv4,PowerPlatformInfra.UKSouth,uksouth
51.104.248.11/32,IPv4,PowerPlatformInfra.UKSouth,uksouth
51.132.161.225/32,IPv4,PowerPlatformInfra.UKSouth,uksouth
51.132.215.162/32,IPv4,PowerPlatformInfra.UKSouth,uksouth
51.132.215.182/32,IPv4,PowerPlatformInfra.UKSouth,uksouth
51.142.209.113/32,IPv4,PowerPlatformInfra.UKSouth,uksouth
51.143.208.216/29,IPv4,PowerPlatformInfra.UKSouth,uksouth
51.145.104.29/32,IPv4,PowerPlatformInfra.UKSouth,uksouth
85.210.105.88/30,IPv4,PowerPlatformInfra.UKSouth,uksouth
85.210.106.64/26,IPv4,PowerPlatformInfra.UKSouth,uksouth
85.210.106.128/25,IPv4,PowerPlatformInfra.UKSouth,uksouth
85.210.107.0/24,IPv4,PowerPlatformInfra.UKSouth,uksouth
85.210.110.0/26,IPv4,PowerPlatformInfra.UKSouth,uksouth
172.167.236.8/29,IPv4,PowerPlatformInfra.UKSouth,uksouth
172.167.236.16/28,IPv4,PowerPlatformInfra.UKSouth,uksouth
172.167.236.32/28,IPv4,PowerPlatformInfra.UKSouth,uksouth
172.167.236.48/29,IPv4,PowerPlatformInfra.UKSouth,uksouth
2603:1061:2002:3000::/57,IPv6,PowerPlatformInfra.UKSouth,uksouth
