ip_address,ip_type,service,region
4.150.232.8/29,IPv4,PowerPlatformInfra.WestUS,westus
4.150.233.64/26,IPv4,PowerPlatformInfra.WestUS,westus
4.150.233.128/25,IPv4,PowerPlatformInfra.WestUS,westus
4.150.234.0/28,IPv4,PowerPlatformInfra.WestUS,westus
4.150.234.16/29,IPv4,PowerPlatformInfra.WestUS,westus
13.64.27.44/32,IPv4,PowerPlatformInfra.WestUS,westus
13.64.35.24/32,IPv4,PowerPlatformInfra.WestUS,westus
13.64.38.167/32,IPv4,PowerPlatformInfra.WestUS,westus
13.64.39.170/32,IPv4,PowerPlatformInfra.WestUS,westus
13.64.128.119/32,IPv4,PowerPlatformInfra.WestUS,westus
13.64.174.215/32,IPv4,PowerPlatformInfra.WestUS,westus
13.64.177.224/32,IPv4,PowerPlatformInfra.WestUS,westus
13.83.17.188/32,IPv4,PowerPlatformInfra.WestUS,westus
13.83.23.194/32,IPv4,PowerPlatformInfra.WestUS,westus
13.83.56.37/32,IPv4,PowerPlatformInfra.WestUS,westus
13.83.64.166/32,IPv4,PowerPlatformInfra.WestUS,westus
13.83.66.89/32,IPv4,PowerPlatformInfra.WestUS,westus
13.83.66.124/32,IPv4,PowerPlatformInfra.WestUS,westus
13.83.68.60/32,IPv4,PowerPlatformInfra.WestUS,westus
13.83.70.105/32,IPv4,PowerPlatformInfra.WestUS,westus
13.83.97.180/32,IPv4,PowerPlatformInfra.WestUS,westus
13.83.97.188/32,IPv4,PowerPlatformInfra.WestUS,westus
13.83.102.38/32,IPv4,PowerPlatformInfra.WestUS,westus
13.83.145.222/32,IPv4,PowerPlatformInfra.WestUS,westus
13.83.147.192/32,IPv4,PowerPlatformInfra.WestUS,westus
13.83.151.212/32,IPv4,PowerPlatformInfra.WestUS,westus
13.83.248.248/32,IPv4,PowerPlatformInfra.WestUS,westus
13.83.249.34/32,IPv4,PowerPlatformInfra.WestUS,westus
13.83.249.58/32,IPv4,PowerPlatformInfra.WestUS,westus
13.86.136.222/32,IPv4,PowerPlatformInfra.WestUS,westus
13.86.137.20/32,IPv4,PowerPlatformInfra.WestUS,westus
13.86.139.229/32,IPv4,PowerPlatformInfra.WestUS,westus
13.86.155.216/32,IPv4,PowerPlatformInfra.WestUS,westus
