ip_address,ip_type,service,region
4.213.28.0/29,IPv4,PowerPlatformPlex.CentralIndia,centralindia
20.193.248.192/26,IPv4,PowerPlatformPlex.CentralIndia,centralindia
20.204.192.108/30,IPv4,PowerPlatformPlex.CentralIndia,centralindia
20.204.192.192/29,IPv4,PowerPlatformPlex.CentralIndia,centralindia
20.204.193.100/30,IPv4,PowerPlatformPlex.CentralIndia,centralindia
20.204.193.104/29,IPv4,PowerPlatformPlex.CentralIndia,centralindia
20.204.199.160/28,IPv4,PowerPlatformPlex.CentralIndia,centralindia
20.204.199.176/29,IPv4,PowerPlatformPlex.CentralIndia,centralindia
20.244.74.96/28,IPv4,PowerPlatformPlex.CentralIndia,centralindia
2603:1061:2004:3900::/57,IPv6,PowerPlatformPlex.CentralIndia,centralindia
