ip_address,ip_type,service,region
4.145.74.56/29,IPv4,PowerPlatformPlex.SoutheastAsia,southeastasia
4.145.74.128/27,IPv4,PowerPlatformPlex.SoutheastAsia,southeastasia
4.145.74.160/29,IPv4,PowerPlatformPlex.SoutheastAsia,southeastasia
4.194.225.212/30,IPv4,PowerPlatformPlex.SoutheastAsia,southeastasia
20.24.0.192/28,IPv4,PowerPlatformPlex.SoutheastAsia,southeastasia
20.24.0.208/30,IPv4,PowerPlatformPlex.SoutheastAsia,southeastasia
20.44.247.0/26,IPv4,PowerPlatformPlex.SoutheastAsia,southeastasia
20.195.86.92/30,IPv4,PowerPlatformPlex.SoutheastAsia,southeastasia
20.195.87.16/28,IPv4,PowerPlatformPlex.SoutheastAsia,southeastasia
20.195.87.32/30,IPv4,PowerPlatformPlex.SoutheastAsia,southeastasia
20.195.87.124/30,IPv4,PowerPlatformPlex.SoutheastAsia,southeastasia
57.155.34.136/29,IPv4,PowerPlatformPlex.SoutheastAsia,southeastasia
2603:1061:2004:800::/57,IPv6,PowerPlatformPlex.SoutheastAsia,southeastasia
2603:1061:2004:6100::/57,IPv6,PowerPlatformPlex.SoutheastAsia,southeastasia
