ip_address,ip_type,service,region
4.182.42.168/29,IPv4,PowerQueryOnline.GermanyWestCentral,germanywc
4.182.42.176/28,IPv4,PowerQueryOnline.GermanyWestCentral,germanywc
20.52.65.82/31,IPv4,PowerQueryOnline.GermanyWestCentral,germanywc
20.79.107.144/29,IPv4,PowerQueryOnline.GermanyWestCentral,germanywc
51.116.144.70/31,IPv4,PowerQueryOnline.GermanyWestCentral,germanywc
51.116.246.118/31,IPv4,PowerQueryOnline.GermanyWestCentral,germanywc
51.116.253.184/31,IPv4,PowerQueryOnline.GermanyWestCentral,germanywc
2603:1020:c04:1::200/123,IPv6,PowerQueryOnline.GermanyWestCentral,germanywc
2603:1020:c04:402::160/125,IPv6,PowerQueryOnline.GermanyWestCentral,germanywc
2603:1020:c04:802::140/125,IPv6,PowerQueryOnline.GermanyWestCentral,germanywc
2603:1020:c04:c00::20/125,IPv6,PowerQueryOnline.GermanyWestCentral,germanywc
