ip_address,ip_type,service,region
158.23.10.114/31,IPv4,PowerQueryOnline.MexicoCentral,mexicocentral
158.23.96.40/29,IPv4,PowerQueryOnline.MexicoCentral,mexicocentral
158.23.122.112/31,IPv4,PowerQueryOnline.MexicoCentral,mexicocentral
158.23.194.112/31,IPv4,PowerQueryOnline.MexicoCentral,mexicocentral
158.23.202.144/28,IPv4,PowerQueryOnline.MexicoCentral,mexicocentral
158.23.205.16/29,IPv4,PowerQueryOnline.MexicoCentral,mexicocentral
2603:1030:702::1c0/123,IPv6,PowerQueryOnline.MexicoCentral,mexicocentral
2603:1030:702:400::108/125,IPv6,PowerQueryOnline.MexicoCentral,mexicocentral
2603:1030:702:800::18/125,IPv6,PowerQueryOnline.MexicoCentral,mexicocentral
2603:1030:702:c00::18/125,IPv6,PowerQueryOnline.MexicoCentral,mexicocentral
