ip_address,ip_type,service,region
20.125.162.146/31,IPv4,PowerQueryOnline.NorthCentralUS,northcentralus
20.125.162.152/29,IPv4,PowerQueryOnline.NorthCentralUS,northcentralus
20.125.173.170/31,IPv4,PowerQueryOnline.NorthCentralUS,northcentralus
20.125.205.170/31,IPv4,PowerQueryOnline.NorthCentralUS,northcentralus
40.80.184.68/31,IPv4,PowerQueryOnline.NorthCentralUS,northcentralus
52.240.245.250/31,IPv4,PowerQueryOnline.NorthCentralUS,northcentralus
135.224.32.160/28,IPv4,PowerQueryOnline.NorthCentralUS,northcentralus
172.183.233.72/29,IPv4,PowerQueryOnline.NorthCentralUS,northcentralus
2603:1030:608::200/123,IPv6,PowerQueryOnline.NorthCentralUS,northcentralus
2603:1030:608:402::168/125,IPv6,PowerQueryOnline.NorthCentralUS,northcentralus
2603:1030:608:800::2d0/125,IPv6,PowerQueryOnline.NorthCentralUS,northcentralus
2603:1030:608:c00::380/125,IPv6,PowerQueryOnline.NorthCentralUS,northcentralus
