ip_address,ip_type,service,region
4.150.17.154/32,IPv4,ServiceBus.SouthCentralUS,southcentralus
4.150.20.142/32,IPv4,ServiceBus.SouthCentralUS,southcentralus
13.65.40.138/32,IPv4,ServiceBus.SouthCentralUS,southcentralus
13.85.81.218/32,IPv4,ServiceBus.SouthCentralUS,southcentralus
20.45.122.128/29,IPv4,ServiceBus.SouthCentralUS,southcentralus
20.45.126.128/26,IPv4,ServiceBus.SouthCentralUS,southcentralus
20.49.91.224/29,IPv4,ServiceBus.SouthCentralUS,southcentralus
20.49.91.240/28,IPv4,ServiceBus.SouthCentralUS,southcentralus
20.49.95.64/26,IPv4,ServiceBus.SouthCentralUS,southcentralus
20.65.135.128/25,IPv4,ServiceBus.SouthCentralUS,southcentralus
20.225.83.78/32,IPv4,ServiceBus.SouthCentralUS,southcentralus
40.124.65.0/26,IPv4,ServiceBus.SouthCentralUS,southcentralus
70.37.56.227/32,IPv4,ServiceBus.SouthCentralUS,southcentralus
70.37.104.240/32,IPv4,ServiceBus.SouthCentralUS,southcentralus
70.37.104.242/32,IPv4,ServiceBus.SouthCentralUS,southcentralus
104.214.18.160/29,IPv4,ServiceBus.SouthCentralUS,southcentralus
172.215.177.192/26,IPv4,ServiceBus.SouthCentralUS,southcentralus
172.215.179.0/24,IPv4,ServiceBus.SouthCentralUS,southcentralus
172.215.180.0/25,IPv4,ServiceBus.SouthCentralUS,southcentralus
2603:1030:807::700/120,IPv6,ServiceBus.SouthCentralUS,southcentralus
2603:1030:807:1::220/123,IPv6,ServiceBus.SouthCentralUS,southcentralus
2603:1030:807:402::170/125,IPv6,ServiceBus.SouthCentralUS,southcentralus
2603:1030:807:802::150/125,IPv6,ServiceBus.SouthCentralUS,southcentralus
2603:1030:807:c02::150/125,IPv6,ServiceBus.SouthCentralUS,southcentralus
