ip_address,ip_type,service,region
13.66.140.152/29,IPv4,ServiceFabric.WestUS2,westus2
13.66.167.194/32,IPv4,ServiceFabric.WestUS2,westus2
13.66.226.151/32,IPv4,ServiceFabric.WestUS2,westus2
40.78.245.192/30,IPv4,ServiceFabric.WestUS2,westus2
40.78.253.64/30,IPv4,ServiceFabric.WestUS2,westus2
52.151.38.144/32,IPv4,ServiceFabric.WestUS2,westus2
52.158.236.247/32,IPv4,ServiceFabric.WestUS2,westus2
2603:1030:c06:400::898/125,IPv6,ServiceFabric.WestUS2,westus2
2603:1030:c06:802::98/125,IPv6,ServiceFabric.WestUS2,westus2
2603:1030:c06:c02::98/125,IPv6,ServiceFabric.WestUS2,westus2
