ip_address,ip_type,service,region
13.70.148.251/32,IPv4,Sql.AustraliaSoutheast,australiasoutheast
13.73.109.251/32,IPv4,Sql.AustraliaSoutheast,australiasoutheast
13.77.48.0/27,IPv4,Sql.AustraliaSoutheast,australiasoutheast
13.77.49.0/27,IPv4,Sql.AustraliaSoutheast,australiasoutheast
13.77.49.32/29,IPv4,Sql.AustraliaSoutheast,australiasoutheast
20.211.229.0/25,IPv4,Sql.AustraliaSoutheast,australiasoutheast
40.127.82.69/32,IPv4,Sql.AustraliaSoutheast,australiasoutheast
40.127.83.164/32,IPv4,Sql.AustraliaSoutheast,australiasoutheast
104.46.162.192/27,IPv4,Sql.AustraliaSoutheast,australiasoutheast
104.46.163.0/26,IPv4,Sql.AustraliaSoutheast,australiasoutheast
104.46.179.160/27,IPv4,Sql.AustraliaSoutheast,australiasoutheast
104.46.179.192/27,IPv4,Sql.AustraliaSoutheast,australiasoutheast
104.46.183.0/26,IPv4,Sql.AustraliaSoutheast,australiasoutheast
191.239.192.109/32,IPv4,Sql.AustraliaSoutheast,australiasoutheast
2603:1010:101::280/123,IPv6,Sql.AustraliaSoutheast,australiasoutheast
2603:1010:101:1::200/121,IPv6,Sql.AustraliaSoutheast,australiasoutheast
2603:1010:101:2::400/121,IPv6,Sql.AustraliaSoutheast,australiasoutheast
2603:1010:101:400::/123,IPv6,Sql.AustraliaSoutheast,australiasoutheast
