ip_address,ip_type,service,region
20.175.4.128/25,IPv4,Sql.CanadaEast,canadaeast
40.69.104.0/27,IPv4,Sql.CanadaEast,canadaeast
40.69.105.0/27,IPv4,Sql.CanadaEast,canadaeast
40.69.105.32/29,IPv4,Sql.CanadaEast,canadaeast
40.69.116.128/25,IPv4,Sql.CanadaEast,canadaeast
40.86.226.166/32,IPv4,Sql.CanadaEast,canadaeast
52.139.106.192/26,IPv4,Sql.CanadaEast,canadaeast
52.139.107.0/26,IPv4,Sql.CanadaEast,canadaeast
52.242.30.154/32,IPv4,Sql.CanadaEast,canadaeast
2603:1030:1005::280/123,IPv6,Sql.CanadaEast,canadaeast
2603:1030:1005:1::200/121,IPv6,Sql.CanadaEast,canadaeast
2603:1030:1005:6::80/121,IPv6,Sql.CanadaEast,canadaeast
2603:1030:1005:400::/123,IPv6,Sql.CanadaEast,canadaeast
