ip_address,ip_type,service,region
4.153.236.44/30,IPv4,Sql.EastUS2,eastus2
4.153.237.192/26,IPv4,Sql.EastUS2,eastus2
4.153.238.0/27,IPv4,Sql.EastUS2,eastus2
20.15.10.0/25,IPv4,Sql.EastUS2,eastus2
20.15.12.0/24,IPv4,Sql.EastUS2,eastus2
20.36.144.128/27,IPv4,Sql.EastUS2,eastus2
20.36.145.0/25,IPv4,Sql.EastUS2,eastus2
20.62.58.128/25,IPv4,Sql.EastUS2,eastus2
20.65.1.0/26,IPv4,Sql.EastUS2,eastus2
40.70.144.0/26,IPv4,Sql.EastUS2,eastus2
40.70.144.192/29,IPv4,Sql.EastUS2,eastus2
40.70.145.0/26,IPv4,Sql.EastUS2,eastus2
40.79.84.180/32,IPv4,Sql.EastUS2,eastus2
52.167.104.0/26,IPv4,Sql.EastUS2,eastus2
52.167.104.192/29,IPv4,Sql.EastUS2,eastus2
52.167.104.224/27,IPv4,Sql.EastUS2,eastus2
52.167.105.0/26,IPv4,Sql.EastUS2,eastus2
52.167.111.144/28,IPv4,Sql.EastUS2,eastus2
52.167.111.192/27,IPv4,Sql.EastUS2,eastus2
52.167.117.226/32,IPv4,Sql.EastUS2,eastus2
52.167.145.64/26,IPv4,Sql.EastUS2,eastus2
52.167.145.128/27,IPv4,Sql.EastUS2,eastus2
52.167.145.192/26,IPv4,Sql.EastUS2,eastus2
52.177.185.181/32,IPv4,Sql.EastUS2,eastus2
52.179.178.184/32,IPv4,Sql.EastUS2,eastus2
104.208.149.0/26,IPv4,Sql.EastUS2,eastus2
104.208.150.0/26,IPv4,Sql.EastUS2,eastus2
104.208.150.192/29,IPv4,Sql.EastUS2,eastus2
104.208.151.64/26,IPv4,Sql.EastUS2,eastus2
104.208.198.0/24,IPv4,Sql.EastUS2,eastus2
172.210.216.24/29,IPv4,Sql.EastUS2,eastus2
172.210.216.224/27,IPv4,Sql.EastUS2,eastus2
191.239.224.107/32,IPv4,Sql.EastUS2,eastus2
191.239.224.108/31,IPv4,Sql.EastUS2,eastus2
191.239.224.110/32,IPv4,Sql.EastUS2,eastus2
2603:1030:40c::320/123,IPv6,Sql.EastUS2,eastus2
2603:1030:40c::380/121,IPv6,Sql.EastUS2,eastus2
2603:1030:40c:b::100/121,IPv6,Sql.EastUS2,eastus2
2603:1030:40c:10::/120,IPv6,Sql.EastUS2,eastus2
2603:1030:40c:400::/123,IPv6,Sql.EastUS2,eastus2
2603:1030:40c:401::/123,IPv6,Sql.EastUS2,eastus2
2603:1030:40c:800::/123,IPv6,Sql.EastUS2,eastus2
2603:1030:40c:801::/123,IPv6,Sql.EastUS2,eastus2
2603:1030:40c:c00::/123,IPv6,Sql.EastUS2,eastus2
2603:1030:40c:c01::/123,IPv6,Sql.EastUS2,eastus2
