ip_address,ip_type,service,region
20.113.249.128/25,IPv4,Sql.GermanyNorth,germanyn
51.116.54.96/27,IPv4,Sql.GermanyNorth,germanyn
51.116.54.128/27,IPv4,Sql.GermanyNorth,germanyn
51.116.54.192/26,IPv4,Sql.GermanyNorth,germanyn
51.116.56.0/27,IPv4,Sql.GermanyNorth,germanyn
51.116.57.0/27,IPv4,Sql.GermanyNorth,germanyn
51.116.57.32/29,IPv4,Sql.GermanyNorth,germanyn
2603:1020:d04::280/123,IPv6,Sql.GermanyNorth,germanyn
2603:1020:d04:1::200/121,IPv6,Sql.GermanyNorth,germanyn
2603:1020:d04:2::500/121,IPv6,Sql.GermanyNorth,germanyn
2603:1020:d04:400::/123,IPv6,Sql.GermanyNorth,germanyn
