ip_address,ip_type,service,region
20.192.48.32/27,IPv4,Sql.JioIndiaCentral,jioindiacentral
20.192.48.64/27,IPv4,Sql.JioIndiaCentral,jioindiacentral
20.192.48.128/26,IPv4,Sql.JioIndiaCentral,jioindiacentral
20.192.232.0/27,IPv4,Sql.JioIndiaCentral,jioindiacentral
20.192.233.0/27,IPv4,Sql.JioIndiaCentral,jioindiacentral
20.192.233.32/29,IPv4,Sql.JioIndiaCentral,jioindiacentral
20.207.7.0/25,IPv4,Sql.JioIndiaCentral,jioindiacentral
2603:1040:1104::500/123,IPv6,Sql.JioIndiaCentral,jioindiacentral
2603:1040:1104:1::300/121,IPv6,Sql.JioIndiaCentral,jioindiacentral
2603:1040:1104:5::80/121,IPv6,Sql.JioIndiaCentral,jioindiacentral
2603:1040:1104:400::440/123,IPv6,Sql.JioIndiaCentral,jioindiacentral
2603:1040:1104:402::/123,IPv6,Sql.JioIndiaCentral,jioindiacentral
