ip_address,ip_type,service,region
51.13.136.224/27,IPv4,Sql.NorwayWest,norwayw
51.13.137.0/27,IPv4,Sql.NorwayWest,norwayw
51.13.137.64/26,IPv4,Sql.NorwayWest,norwayw
51.120.181.0/25,IPv4,Sql.NorwayWest,norwayw
51.120.216.0/27,IPv4,Sql.NorwayWest,norwayw
51.120.217.0/27,IPv4,Sql.NorwayWest,norwayw
51.120.217.32/29,IPv4,Sql.NorwayWest,norwayw
2603:1020:f04::280/123,IPv6,Sql.NorwayWest,norwayw
2603:1020:f04:1::200/121,IPv6,Sql.NorwayWest,norwayw
2603:1020:f04:3::600/121,IPv6,Sql.NorwayWest,norwayw
2603:1020:f04:400::/123,IPv6,Sql.NorwayWest,norwayw
