ip_address,ip_type,service,region
20.91.15.0/25,IPv4,Sql.SwedenSouth,swedensouth
51.12.198.32/27,IPv4,Sql.SwedenSouth,swedensouth
51.12.198.64/27,IPv4,Sql.SwedenSouth,swedensouth
51.12.198.128/26,IPv4,Sql.SwedenSouth,swedensouth
51.12.200.0/27,IPv4,Sql.SwedenSouth,swedensouth
51.12.200.32/29,IPv4,Sql.SwedenSouth,swedensouth
51.12.201.0/27,IPv4,Sql.SwedenSouth,swedensouth
51.12.201.32/29,IPv4,Sql.SwedenSouth,swedensouth
2603:1020:1104::500/123,IPv6,Sql.SwedenSouth,swedensouth
2603:1020:1104:1::300/121,IPv6,Sql.SwedenSouth,swedensouth
2603:1020:1104:2::580/121,IPv6,Sql.SwedenSouth,swedensouth
2603:1020:1104:400::420/123,IPv6,Sql.SwedenSouth,swedensouth
2603:1020:1104:402::/123,IPv6,Sql.SwedenSouth,swedensouth
