ip_address,ip_type,service,region
20.153.103.0/24,IPv4,Storage.NortheastUS5,northeastus5
57.163.0.0/23,IPv4,Storage.NortheastUS5,northeastus5
57.163.4.0/23,IPv4,Storage.NortheastUS5,northeastus5
135.130.98.0/23,IPv4,Storage.NortheastUS5,northeastus5
135.130.100.0/24,IPv4,Storage.NortheastUS5,northeastus5
135.130.190.0/23,IPv4,Storage.NortheastUS5,northeastus5
135.130.192.0/23,IPv4,Storage.NortheastUS5,northeastus5
135.130.198.0/23,IPv4,Storage.NortheastUS5,northeastus5
145.190.136.0/24,IPv4,Storage.NortheastUS5,northeastus5
145.190.138.0/23,IPv4,Storage.NortheastUS5,northeastus5
145.190.160.0/24,IPv4,Storage.NortheastUS5,northeastus5
145.190.166.0/24,IPv4,Storage.NortheastUS5,northeastus5
2603:1030:1603::/48,IPv6,Storage.NortheastUS5,northeastus5
