ip_address,ip_type,service,region
13.65.107.32/28,IPv4,Storage.SouthCentralUS,southcentralus
13.65.160.16/28,IPv4,Storage.SouthCentralUS,southcentralus
13.65.160.48/28,IPv4,Storage.SouthCentralUS,southcentralus
13.65.160.64/28,IPv4,Storage.SouthCentralUS,southcentralus
13.84.56.16/28,IPv4,Storage.SouthCentralUS,southcentralus
13.85.88.16/28,IPv4,Storage.SouthCentralUS,southcentralus
13.85.200.128/28,IPv4,Storage.SouthCentralUS,southcentralus
20.33.165.0/24,IPv4,Storage.SouthCentralUS,southcentralus
20.33.167.0/24,IPv4,Storage.SouthCentralUS,southcentralus
20.33.218.0/24,IPv4,Storage.SouthCentralUS,southcentralus
20.38.104.0/23,IPv4,Storage.SouthCentralUS,southcentralus
20.47.0.0/27,IPv4,Storage.SouthCentralUS,southcentralus
20.47.24.0/23,IPv4,Storage.SouthCentralUS,southcentralus
20.47.29.0/24,IPv4,Storage.SouthCentralUS,southcentralus
20.60.48.0/22,IPv4,Storage.SouthCentralUS,southcentralus
20.60.64.0/22,IPv4,Storage.SouthCentralUS,southcentralus
20.60.140.0/23,IPv4,Storage.SouthCentralUS,southcentralus
20.60.148.0/23,IPv4,Storage.SouthCentralUS,southcentralus
20.60.160.0/23,IPv4,Storage.SouthCentralUS,southcentralus
20.150.20.128/25,IPv4,Storage.SouthCentralUS,southcentralus
20.150.38.0/23,IPv4,Storage.SouthCentralUS,southcentralus
20.150.70.0/24,IPv4,Storage.SouthCentralUS,southcentralus
20.150.79.0/24,IPv4,Storage.SouthCentralUS,southcentralus
20.150.93.0/24,IPv4,Storage.SouthCentralUS,southcentralus
20.150.94.0/24,IPv4,Storage.SouthCentralUS,southcentralus
20.153.0.0/24,IPv4,Storage.SouthCentralUS,southcentralus
20.153.25.0/24,IPv4,Storage.SouthCentralUS,southcentralus
20.153.68.0/24,IPv4,Storage.SouthCentralUS,southcentralus
20.153.69.0/25,IPv4,Storage.SouthCentralUS,southcentralus
20.153.79.0/24,IPv4,Storage.SouthCentralUS,southcentralus
20.153.95.0/24,IPv4,Storage.SouthCentralUS,southcentralus
20.153.125.0/24,IPv4,Storage.SouthCentralUS,southcentralus
20.157.43.0/24,IPv4,Storage.SouthCentralUS,southcentralus
20.157.54.0/24,IPv4,Storage.SouthCentralUS,southcentralus
20.157.134.0/24,IPv4,Storage.SouthCentralUS,southcentralus
20.157.164.0/24,IPv4,Storage.SouthCentralUS,southcentralus
20.157.166.0/24,IPv4,Storage.SouthCentralUS,southcentralus
