ip_address,ip_type,service,region
13.71.5.20/32,IPv4,WindowsVirtualDesktop.CentralIndia,centralindia
20.198.67.41/32,IPv4,WindowsVirtualDesktop.CentralIndia,centralindia
20.198.67.137/32,IPv4,WindowsVirtualDesktop.CentralIndia,centralindia
20.204.26.16/32,IPv4,WindowsVirtualDesktop.CentralIndia,centralindia
20.204.81.191/32,IPv4,WindowsVirtualDesktop.CentralIndia,centralindia
20.204.84.32/32,IPv4,WindowsVirtualDesktop.CentralIndia,centralindia
20.204.86.137/32,IPv4,WindowsVirtualDesktop.CentralIndia,centralindia
20.204.136.84/32,IPv4,WindowsVirtualDesktop.CentralIndia,centralindia
20.204.136.104/32,IPv4,WindowsVirtualDesktop.CentralIndia,centralindia
40.64.144.232/29,IPv4,WindowsVirtualDesktop.CentralIndia,centralindia
40.64.145.80/28,IPv4,WindowsVirtualDesktop.CentralIndia,centralindia
52.140.113.34/32,IPv4,WindowsVirtualDesktop.CentralIndia,centralindia
52.172.210.235/32,IPv4,WindowsVirtualDesktop.CentralIndia,centralindia
52.172.223.46/32,IPv4,WindowsVirtualDesktop.CentralIndia,centralindia
104.211.78.17/32,IPv4,WindowsVirtualDesktop.CentralIndia,centralindia
104.211.114.61/32,IPv4,WindowsVirtualDesktop.CentralIndia,centralindia
2603:1061:2010:5::/117,IPv6,WindowsVirtualDesktop.CentralIndia,centralindia
