ip_address,ip_type,service,region
13.75.114.143/32,IPv4,WindowsVirtualDesktop.EastAsia,eastasia
23.101.5.54/32,IPv4,WindowsVirtualDesktop.EastAsia,eastasia
23.102.229.113/32,IPv4,WindowsVirtualDesktop.EastAsia,eastasia
40.64.145.192/28,IPv4,WindowsVirtualDesktop.EastAsia,eastasia
40.83.79.39/32,IPv4,WindowsVirtualDesktop.EastAsia,eastasia
52.229.207.180/32,IPv4,WindowsVirtualDesktop.EastAsia,eastasia
65.52.160.218/32,IPv4,WindowsVirtualDesktop.EastAsia,eastasia
137.116.160.32/32,IPv4,WindowsVirtualDesktop.EastAsia,eastasia
137.116.168.156/32,IPv4,WindowsVirtualDesktop.EastAsia,eastasia
2603:1061:2010:8::/117,IPv6,WindowsVirtualDesktop.EastAsia,eastasia
