ip_address,ip_type,service,region
48.220.60.10/32,IPv4,ZeroTrustSegmentation,
48.220.60.12/30,IPv4,ZeroTrustSegmentation,
57.158.47.121/32,IPv4,ZeroTrustSegmentation,
57.158.47.124/30,IPv4,ZeroTrustSegmentation,
72.147.59.211/32,IPv4,ZeroTrustSegmentation,
72.147.61.144/30,IPv4,ZeroTrustSegmentation,
131.145.67.223/32,IPv4,ZeroTrustSegmentation,
131.145.67.244/30,IPv4,ZeroTrustSegmentation,
132.164.237.99/32,IPv4,ZeroTrustSegmentation,
132.164.237.100/30,IPv4,ZeroTrustSegmentation,
132.220.81.153/32,IPv4,ZeroTrustSegmentation,
132.220.81.156/30,IPv4,ZeroTrustSegmentation,
134.33.186.225/32,IPv4,ZeroTrustSegmentation,
134.33.186.228/30,IPv4,ZeroTrustSegmentation,
135.119.0.33/32,IPv4,ZeroTrustSegmentation,
135.119.0.48/30,IPv4,ZeroTrustSegmentation,
172.208.252.131/32,IPv4,ZeroTrustSegmentation,
172.208.254.100/30,IPv4,ZeroTrustSegmentation,
172.215.90.238/32,IPv4,ZeroTrustSegmentation,
172.215.94.80/30,IPv4,ZeroTrustSegmentation,
