ip_address,ip_type,service,region
34.0.227.0/24,IPv4,Google Cloud,asia-south1
34.14.128.0/18,IPv4,Google Cloud,asia-south1
34.14.192.0/19,IPv4,Google Cloud,asia-south1
34.47.128.0/17,IPv4,Google Cloud,asia-south1
34.93.0.0/16,IPv4,Google Cloud,asia-south1
34.100.128.0/17,IPv4,Google Cloud,asia-south1
34.104.108.0/23,IPv4,Google Cloud,asia-south1
34.124.44.0/23,IPv4,Google Cloud,asia-south1
34.152.64.0/22,IPv4,Google Cloud,asia-south1
34.152.106.0/23,IPv4,Google Cloud,asia-south1
34.153.58.0/23,IPv4,Google Cloud,asia-south1
34.153.250.0/23,IPv4,Google Cloud,asia-south1
34.157.87.0/24,IPv4,Google Cloud,asia-south1
34.157.215.0/24,IPv4,Google Cloud,asia-south1
34.177.32.0/22,IPv4,Google Cloud,asia-south1
34.177.74.0/23,IPv4,Google Cloud,asia-south1
34.180.0.0/18,IPv4,Google Cloud,asia-south1
34.183.36.0/24,IPv4,Google Cloud,asia-south1
34.184.35.0/24,IPv4,Google Cloud,asia-south1
35.200.128.0/17,IPv4,Google Cloud,asia-south1
35.201.41.0/24,IPv4,Google Cloud,asia-south1
35.207.192.0/18,IPv4,Google Cloud,asia-south1
35.220.42.0/24,IPv4,Google Cloud,asia-south1
35.234.208.0/20,IPv4,Google Cloud,asia-south1
35.242.42.0/24,IPv4,Google Cloud,asia-south1
35.244.0.0/18,IPv4,Google Cloud,asia-south1
2600:1900:40a0::/44,IPv6,Google Cloud,asia-south1
