ip_address,ip_type,service,region
34.4.32.0/20,IPv4,Google Cloud,us-east4
34.11.0.0/17,IPv4,Google Cloud,us-east4
34.21.0.0/17,IPv4,Google Cloud,us-east4
34.48.0.0/16,IPv4,Google Cloud,us-east4
34.85.128.0/17,IPv4,Google Cloud,us-east4
34.86.0.0/16,IPv4,Google Cloud,us-east4
34.104.60.0/23,IPv4,Google Cloud,us-east4
34.104.124.0/23,IPv4,Google Cloud,us-east4
34.118.252.0/23,IPv4,Google Cloud,us-east4
34.124.60.0/23,IPv4,Google Cloud,us-east4
34.127.188.0/23,IPv4,Google Cloud,us-east4
34.145.128.0/17,IPv4,Google Cloud,us-east4
34.150.128.0/17,IPv4,Google Cloud,us-east4
34.157.0.0/21,IPv4,Google Cloud,us-east4
34.157.16.0/20,IPv4,Google Cloud,us-east4
34.157.128.0/21,IPv4,Google Cloud,us-east4
34.157.144.0/20,IPv4,Google Cloud,us-east4
34.181.128.0/17,IPv4,Google Cloud,us-east4
34.182.128.0/17,IPv4,Google Cloud,us-east4
34.183.12.0/22,IPv4,Google Cloud,us-east4
34.183.34.0/23,IPv4,Google Cloud,us-east4
34.184.12.0/22,IPv4,Google Cloud,us-east4
34.184.32.0/23,IPv4,Google Cloud,us-east4
34.186.32.0/19,IPv4,Google Cloud,us-east4
34.186.64.0/18,IPv4,Google Cloud,us-east4
35.186.160.0/19,IPv4,Google Cloud,us-east4
35.188.224.0/19,IPv4,Google Cloud,us-east4
35.194.64.0/19,IPv4,Google Cloud,us-east4
35.199.0.0/18,IPv4,Google Cloud,us-east4
35.212.0.0/17,IPv4,Google Cloud,us-east4
35.220.60.0/22,IPv4,Google Cloud,us-east4
35.221.0.0/18,IPv4,Google Cloud,us-east4
35.230.160.0/19,IPv4,Google Cloud,us-east4
35.234.176.0/20,IPv4,Google Cloud,us-east4
35.236.192.0/18,IPv4,Google Cloud,us-east4
35.242.60.0/22,IPv4,Google Cloud,us-east4
35.243.40.0/21,IPv4,Google Cloud,us-east4
35.245.0.0/16,IPv4,Google Cloud,us-east4
136.107.0.0/16,IPv4,Google Cloud,us-east4
2600:1900:4090::/44,IPv6,Google Cloud,us-east4
2600:1902:250::/44,IPv6,Google Cloud,us-east4
