ip_address,ip_type,service,region
23.19.152.0/22,IPv4,leaseweb-as394380,global
23.19.184.0/21,IPv4,leaseweb-as394380,global
23.19.220.0/22,IPv4,leaseweb-as394380,global
23.81.72.0/21,IPv4,leaseweb-as394380,global
23.104.232.0/21,IPv4,leaseweb-as394380,global
23.105.32.0/24,IPv4,leaseweb-as394380,global
31.57.195.0/24,IPv4,leaseweb-as394380,global
46.202.227.0/24,IPv4,leaseweb-as394380,global
46.202.248.0/24,IPv4,leaseweb-as394380,global
64.120.78.0/24,IPv4,leaseweb-as394380,global
65.86.32.0/24,IPv4,leaseweb-as394380,global
67.201.48.0/23,IPv4,leaseweb-as394380,global
69.147.240.0/23,IPv4,leaseweb-as394380,global
148.135.146.0/24,IPv4,leaseweb-as394380,global
148.135.149.0/24,IPv4,leaseweb-as394380,global
148.135.157.0/24,IPv4,leaseweb-as394380,global
152.163.20.0/22,IPv4,leaseweb-as394380,global
152.163.44.0/22,IPv4,leaseweb-as394380,global
152.163.72.0/22,IPv4,leaseweb-as394380,global
152.163.96.0/22,IPv4,leaseweb-as394380,global
152.163.148.0/22,IPv4,leaseweb-as394380,global
152.163.172.0/22,IPv4,leaseweb-as394380,global
152.163.224.0/22,IPv4,leaseweb-as394380,global
152.163.248.0/22,IPv4,leaseweb-as394380,global
172.241.24.0/21,IPv4,leaseweb-as394380,global
172.241.32.0/21,IPv4,leaseweb-as394380,global
172.241.80.0/22,IPv4,leaseweb-as394380,global
172.241.88.0/21,IPv4,leaseweb-as394380,global
172.241.112.0/21,IPv4,leaseweb-as394380,global
172.241.128.0/22,IPv4,leaseweb-as394380,global
172.241.132.0/22,IPv4,leaseweb-as394380,global
172.241.144.0/22,IPv4,leaseweb-as394380,global
172.241.152.0/22,IPv4,leaseweb-as394380,global
172.241.160.0/22,IPv4,leaseweb-as394380,global
172.241.168.0/22,IPv4,leaseweb-as394380,global
172.241.184.0/22,IPv4,leaseweb-as394380,global
172.241.192.0/22,IPv4,leaseweb-as394380,global
172.241.224.0/22,IPv4,leaseweb-as394380,global
172.241.228.0/22,IPv4,leaseweb-as394380,global
172.255.80.0/22,IPv4,leaseweb-as394380,global
172.255.148.0/22,IPv4,leaseweb-as394380,global
173.208.123.0/24,IPv4,leaseweb-as394380,global
173.234.120.0/22,IPv4,leaseweb-as394380,global
173.234.224.0/22,IPv4,leaseweb-as394380,global
173.234.225.0/24,IPv4,leaseweb-as394380,global
173.234.226.0/24,IPv4,leaseweb-as394380,global
173.234.227.0/24,IPv4,leaseweb-as394380,global
174.34.132.0/22,IPv4,leaseweb-as394380,global
199.180.8.0/22,IPv4,leaseweb-as394380,global
206.83.129.0/24,IPv4,leaseweb-as394380,global
206.83.131.0/24,IPv4,leaseweb-as394380,global
209.58.144.0/20,IPv4,leaseweb-as394380,global
216.183.246.0/24,IPv4,leaseweb-as394380,global
2606:9880::/32,IPv6,leaseweb-as394380,global
