ip_address,ip_type,service,region
135.136.55.2/32,IPv4,mullvad-wireguard,jp
138.199.21.226/32,IPv4,mullvad-wireguard,jp
138.199.21.239/32,IPv4,mullvad-wireguard,jp
146.70.201.2/32,IPv4,mullvad-wireguard,jp
146.70.201.130/32,IPv4,mullvad-wireguard,jp
185.242.4.34/32,IPv4,mullvad-bridge,jp
194.127.166.2/32,IPv4,mullvad-wireguard,jp
194.127.166.81/32,IPv4,mullvad-wireguard,jp
194.127.166.161/32,IPv4,mullvad-wireguard,jp
2001:ac8:40:13::f001/128,IPv6,mullvad-wireguard,jp
2001:ac8:40:14::f001/128,IPv6,mullvad-wireguard,jp
2001:ac8:40:1d::f001/128,IPv6,mullvad-wireguard,jp
2001:ac8:40:22::bb01/128,IPv6,mullvad-bridge,jp
2a02:6ea0:d31b::a14f/128,IPv6,mullvad-wireguard,jp
2a02:6ea0:d31c::a15f/128,IPv6,mullvad-wireguard,jp
2a07:d883:600:1::f001/128,IPv6,mullvad-wireguard,jp
2a07:d883:600:2::f001/128,IPv6,mullvad-wireguard,jp
2a07:d883:600:3::f001/128,IPv6,mullvad-wireguard,jp
