ip_address,ip_type,service,region
38.132.121.146/32,IPv4,mullvad-bridge,us
62.133.44.202/32,IPv4,mullvad-bridge,us
69.4.234.8/32,IPv4,mullvad-bridge,us
103.125.233.210/32,IPv4,mullvad-bridge,hk
141.98.252.66/32,IPv4,mullvad-bridge,gb
146.70.141.154/32,IPv4,mullvad-bridge,au
146.70.183.34/32,IPv4,mullvad-bridge,us
146.70.192.38/32,IPv4,mullvad-bridge,sg
185.65.134.116/32,IPv4,mullvad-bridge,nl
185.242.4.34/32,IPv4,mullvad-bridge,jp
193.32.127.117/32,IPv4,mullvad-bridge,ch
193.138.7.132/32,IPv4,mullvad-bridge,fi
212.103.48.226/32,IPv4,mullvad-bridge,us
217.138.199.106/32,IPv4,mullvad-bridge,cz
217.138.213.18/32,IPv4,mullvad-bridge,ca
2001:ac8:40:22::bb01/128,IPv6,mullvad-bridge,jp
2607:fc98:0:8a::f001/128,IPv6,mullvad-bridge,us
2a0d:5600:d:40::bb01/128,IPv6,mullvad-bridge,sg
2a0d:5600:24:1383::f1f/128,IPv6,mullvad-bridge,us
