ip_address,ip_type,service,region
129.91.16.0/21,IPv4,OCI,ap-sydney-1
129.154.64.0/18,IPv4,OCI,ap-sydney-1
129.154.168.0/22,IPv4,OCI,ap-sydney-1
140.238.192.0/20,IPv4,OCI,ap-sydney-1
149.118.64.0/20,IPv4,OCI,ap-sydney-1
150.230.8.0/21,IPv4,OCI,ap-sydney-1
152.67.96.0/19,IPv4,OCI,ap-sydney-1
152.69.160.0/20,IPv4,OCI,ap-sydney-1
152.70.228.0/22,IPv4,OCI,ap-sydney-1
158.178.136.0/21,IPv4,OCI,ap-sydney-1
158.180.4.0/22,IPv4,OCI,ap-sydney-1
159.13.32.0/19,IPv4,OCI,ap-sydney-1
161.33.224.0/20,IPv4,OCI,ap-sydney-1
161.33.240.0/21,IPv4,OCI,ap-sydney-1
168.138.96.0/20,IPv4,OCI,ap-sydney-1
192.9.160.0/19,IPv4,OCI,ap-sydney-1
129.148.0.0/21,IPv4,OSN,ap-sydney-1
129.148.156.0/22,IPv4,OSN,ap-sydney-1
134.70.92.0/22,IPv4,"OSN,OBJECT_STORAGE",ap-sydney-1
134.185.72.0/22,IPv4,OSN,ap-sydney-1
140.91.38.0/23,IPv4,OSN,ap-sydney-1
140.204.20.128/25,IPv4,OSN,ap-sydney-1
168.110.64.0/19,IPv4,OSN,ap-sydney-1
168.110.224.0/20,IPv4,OSN,ap-sydney-1
192.29.144.0/23,IPv4,OSN,ap-sydney-1
192.29.148.0/23,IPv4,OSN,ap-sydney-1
192.29.151.0/24,IPv4,OSN,ap-sydney-1
192.29.152.0/22,IPv4,OSN,ap-sydney-1
192.29.158.0/23,IPv4,OSN,ap-sydney-1
207.127.107.192/26,IPv4,OSN,ap-sydney-1
