ip_address,ip_type,service,region
84.235.160.0/19,IPv4,OCI,eu-amsterdam-1
92.5.192.0/19,IPv4,OCI,eu-amsterdam-1
92.5.224.0/20,IPv4,OCI,eu-amsterdam-1
134.98.128.0/19,IPv4,OCI,eu-amsterdam-1
140.204.84.0/23,IPv4,OCI,eu-amsterdam-1
141.144.192.0/19,IPv4,OCI,eu-amsterdam-1
141.148.224.0/19,IPv4,OCI,eu-amsterdam-1
143.47.176.0/20,IPv4,OCI,eu-amsterdam-1
144.21.32.0/20,IPv4,OCI,eu-amsterdam-1
150.230.20.0/22,IPv4,OCI,eu-amsterdam-1
152.70.48.0/20,IPv4,OCI,eu-amsterdam-1
158.101.192.0/19,IPv4,OCI,eu-amsterdam-1
158.178.144.0/20,IPv4,OCI,eu-amsterdam-1
158.180.8.0/21,IPv4,OCI,eu-amsterdam-1
168.138.120.0/22,IPv4,OCI,eu-amsterdam-1
193.122.16.0/20,IPv4,OCI,eu-amsterdam-1
193.123.32.0/19,IPv4,OCI,eu-amsterdam-1
62.115.179.220/31,IPv4,OSN,eu-amsterdam-1
62.115.179.228/31,IPv4,OSN,eu-amsterdam-1
79.72.32.0/22,IPv4,OSN,eu-amsterdam-1
79.76.24.0/21,IPv4,OSN,eu-amsterdam-1
92.5.255.0/24,IPv4,OSN,eu-amsterdam-1
134.70.104.0/22,IPv4,"OSN,OBJECT_STORAGE",eu-amsterdam-1
140.83.44.0/22,IPv4,OSN,eu-amsterdam-1
140.91.44.0/23,IPv4,OSN,eu-amsterdam-1
140.204.36.128/25,IPv4,OSN,eu-amsterdam-1
140.204.38.128/25,IPv4,OSN,eu-amsterdam-1
140.204.40.128/25,IPv4,OSN,eu-amsterdam-1
158.178.220.0/22,IPv4,OSN,eu-amsterdam-1
192.29.192.0/22,IPv4,OSN,eu-amsterdam-1
192.29.200.0/21,IPv4,OSN,eu-amsterdam-1
213.19.198.156/31,IPv4,OSN,eu-amsterdam-1
213.19.198.164/31,IPv4,OSN,eu-amsterdam-1
