ip_address,ip_type,service,region
140.84.160.0/19,IPv4,OCI,mx-queretaro-1
159.54.128.0/19,IPv4,OCI,mx-queretaro-1
160.34.208.0/20,IPv4,OCI,mx-queretaro-1
163.192.128.0/19,IPv4,OCI,mx-queretaro-1
220.158.64.0/20,IPv4,OCI,mx-queretaro-1
134.70.184.0/22,IPv4,"OSN,OBJECT_STORAGE",mx-queretaro-1
140.91.82.0/23,IPv4,OSN,mx-queretaro-1
140.204.120.128/25,IPv4,OSN,mx-queretaro-1
155.248.144.0/22,IPv4,OSN,mx-queretaro-1
155.248.148.0/25,IPv4,OSN,mx-queretaro-1
159.112.166.0/24,IPv4,OSN,mx-queretaro-1
168.129.247.0/24,IPv4,OSN,mx-queretaro-1
