ip_address,ip_type,service,region
129.146.0.0/21,IPv4,OCI,us-phoenix-1
129.146.8.0/22,IPv4,OCI,us-phoenix-1
129.146.16.0/20,IPv4,OCI,us-phoenix-1
129.146.32.0/19,IPv4,OCI,us-phoenix-1
129.146.64.0/18,IPv4,OCI,us-phoenix-1
129.146.128.0/17,IPv4,OCI,us-phoenix-1
129.150.64.0/18,IPv4,OCI,us-phoenix-1
129.150.128.0/17,IPv4,OCI,us-phoenix-1
129.151.0.0/19,IPv4,OCI,us-phoenix-1
129.152.128.0/19,IPv4,OCI,us-phoenix-1
129.153.64.0/18,IPv4,OCI,us-phoenix-1
129.153.192.0/19,IPv4,OCI,us-phoenix-1
129.191.0.0/17,IPv4,OCI,us-phoenix-1
132.226.24.0/21,IPv4,OCI,us-phoenix-1
132.226.64.0/18,IPv4,OCI,us-phoenix-1
132.226.144.0/20,IPv4,OCI,us-phoenix-1
137.131.0.0/18,IPv4,OCI,us-phoenix-1
141.147.240.0/20,IPv4,OCI,us-phoenix-1
141.148.128.0/18,IPv4,OCI,us-phoenix-1
144.24.0.0/18,IPv4,OCI,us-phoenix-1
147.224.240.0/20,IPv4,OCI,us-phoenix-1
152.70.128.0/19,IPv4,OCI,us-phoenix-1
158.101.0.0/18,IPv4,OCI,us-phoenix-1
160.34.6.0/23,IPv4,OCI,us-phoenix-1
160.34.8.0/22,IPv4,OCI,us-phoenix-1
161.153.0.0/17,IPv4,OCI,us-phoenix-1
193.123.0.0/19,IPv4,OCI,us-phoenix-1
193.123.192.0/19,IPv4,OCI,us-phoenix-1
207.135.0.0/22,IPv4,OCI,us-phoenix-1
207.135.25.0/24,IPv4,OCI,us-phoenix-1
207.135.26.0/24,IPv4,OCI,us-phoenix-1
207.135.28.0/24,IPv4,OCI,us-phoenix-1
129.146.12.128/25,IPv4,OSN,us-phoenix-1
129.146.13.128/25,IPv4,OSN,us-phoenix-1
129.146.14.128/25,IPv4,OSN,us-phoenix-1
129.148.8.0/22,IPv4,OSN,us-phoenix-1
129.149.28.0/22,IPv4,OSN,us-phoenix-1
130.35.0.0/22,IPv4,OSN,us-phoenix-1
130.35.128.0/22,IPv4,OSN,us-phoenix-1
134.65.52.128/25,IPv4,OSN,us-phoenix-1
134.65.208.0/20,IPv4,OSN,us-phoenix-1
134.70.8.0/21,IPv4,"OSN,OBJECT_STORAGE",us-phoenix-1
134.70.16.0/22,IPv4,"OSN,OBJECT_STORAGE",us-phoenix-1
136.248.128.0/19,IPv4,OSN,us-phoenix-1
138.1.32.0/21,IPv4,OSN,us-phoenix-1
138.1.112.0/20,IPv4,OSN,us-phoenix-1
140.91.4.0/22,IPv4,OSN,us-phoenix-1
140.91.8.0/23,IPv4,OSN,us-phoenix-1
146.235.0.0/20,IPv4,OSN,us-phoenix-1
147.154.96.0/20,IPv4,OSN,us-phoenix-1
147.154.112.0/21,IPv4,OSN,us-phoenix-1
147.154.120.0/22,IPv4,OSN,us-phoenix-1
161.153.128.0/18,IPv4,OSN,us-phoenix-1
192.18.200.0/21,IPv4,OSN,us-phoenix-1
192.29.96.0/20,IPv4,OSN,us-phoenix-1
204.216.192.0/20,IPv4,OSN,us-phoenix-1
207.127.124.0/22,IPv4,OSN,us-phoenix-1
