ip_address,ip_type,service,region
66.70.24.0/24,IPv4,rackspace-as12200,global
146.20.220.0/22,IPv4,rackspace-as12200,global
146.177.20.0/24,IPv4,rackspace-as12200,global
146.177.21.0/24,IPv4,rackspace-as12200,global
146.177.56.0/24,IPv4,rackspace-as12200,global
146.177.74.0/24,IPv4,rackspace-as12200,global
166.86.0.0/22,IPv4,rackspace-as12200,global
171.33.145.0/24,IPv4,rackspace-as12200,global
174.143.80.0/24,IPv4,rackspace-as12200,global
192.65.36.0/24,IPv4,rackspace-as12200,global
199.253.202.0/23,IPv4,rackspace-as12200,global
199.253.204.0/23,IPv4,rackspace-as12200,global
204.9.96.0/24,IPv4,rackspace-as12200,global
205.143.66.0/24,IPv4,rackspace-as12200,global
208.95.152.0/22,IPv4,rackspace-as12200,global
2607:e3c0:a042::/48,IPv6,rackspace-as12200,global
