ip_address,ip_type,service,region
5.57.208.0/24,IPv4,upcloud-as25697,global
38.100.118.0/23,IPv4,upcloud-as25697,global
62.164.153.0/24,IPv4,upcloud-as25697,global
85.9.192.0/21,IPv4,upcloud-as25697,global
95.111.212.0/22,IPv4,upcloud-as25697,global
152.44.32.0/21,IPv4,upcloud-as25697,global
152.44.40.0/22,IPv4,upcloud-as25697,global
152.44.44.0/22,IPv4,upcloud-as25697,global
185.168.48.0/24,IPv4,upcloud-as25697,global
194.113.72.0/22,IPv4,upcloud-as25697,global
203.30.224.0/23,IPv4,upcloud-as25697,global
206.209.216.0/24,IPv4,upcloud-as25697,global
209.50.48.0/21,IPv4,upcloud-as25697,global
209.50.56.0/22,IPv4,upcloud-as25697,global
209.50.60.0/22,IPv4,upcloud-as25697,global
209.94.56.0/22,IPv4,upcloud-as25697,global
209.94.60.0/22,IPv4,upcloud-as25697,global
209.151.144.0/22,IPv4,upcloud-as25697,global
209.151.148.0/22,IPv4,upcloud-as25697,global
209.151.152.0/22,IPv4,upcloud-as25697,global
209.151.156.0/23,IPv4,upcloud-as25697,global
209.151.158.0/24,IPv4,upcloud-as25697,global
209.151.159.0/24,IPv4,upcloud-as25697,global
2604:ed40::/32,IPv6,upcloud-as25697,global
2605:7380::/32,IPv6,upcloud-as25697,global
2605:7380:8000::/34,IPv6,upcloud-as25697,global
2a03:3b00:c::/48,IPv6,upcloud-as25697,global
