ip_address,ip_type,region
43.224.32.0/22,IPv4,JP-13
45.32.0.0/21,IPv4,US-NJ
45.32.8.0/21,IPv4,JP-13
45.32.16.0/21,IPv4,JP-13
45.32.24.0/21,IPv4,JP-13
45.32.32.0/19,IPv4,JP-13
45.32.64.0/19,IPv4,US-CA
45.32.96.0/19,IPv4,SG-05
45.32.128.0/20,IPv4,US-CA
45.32.144.0/21,IPv4,FR-93
45.32.152.0/21,IPv4,DE-HE
45.32.160.0/20,IPv4,US-FL
45.32.176.0/21,IPv4,GB-LND
45.32.184.0/22,IPv4,NL-NH
45.32.188.0/22,IPv4,AU-NSW
45.32.192.0/20,IPv4,US-TX
45.32.208.0/20,IPv4,US-GA
45.32.224.0/21,IPv4,US-WA
45.32.232.0/21,IPv4,NL-NH
45.32.240.0/21,IPv4,AU-NSW
45.32.248.0/21,IPv4,JP-13
45.63.0.0/20,IPv4,US-NJ
45.63.16.0/21,IPv4,US-NJ
45.63.24.0/21,IPv4,AU-NSW
45.63.32.0/21,IPv4,US-WA
45.63.40.0/22,IPv4,NL-NH
45.63.44.0/24,IPv4,US-GA
45.63.46.0/23,IPv4,US-GA
45.63.48.0/20,IPv4,US-CA
45.63.64.0/20,IPv4,US-IL
45.63.80.0/20,IPv4,US-CA
45.63.96.0/21,IPv4,GB-LND
45.63.104.0/21,IPv4,US-FL
45.63.112.0/22,IPv4,FR-93
45.63.116.0/22,IPv4,DE-HE
45.63.120.0/22,IPv4,JP-13
45.63.124.0/22,IPv4,JP-13
45.76.0.0/20,IPv4,US-NJ
45.76.16.0/20,IPv4,US-IL
45.76.32.0/21,IPv4,NL-NH
45.76.40.0/22,IPv4,NL-NH
45.76.44.0/22,IPv4,FR-93
45.76.48.0/21,IPv4,JP-13
45.76.56.0/22,IPv4,US-TX
45.76.60.0/22,IPv4,US-GA
45.76.64.0/20,IPv4,US-CA
45.76.80.0/20,IPv4,DE-HE
45.76.96.0/20,IPv4,JP-13
