ip_address,ip_type,service,region
155.103.236.0/24,IPv4,zoho-as401636,global
155.103.237.0/24,IPv4,zoho-as401636,global
155.103.238.0/24,IPv4,zoho-as401636,global
155.103.239.0/24,IPv4,zoho-as401636,global
165.173.164.0/24,IPv4,zoho-as401636,global
165.173.165.0/24,IPv4,zoho-as401636,global
199.67.69.0/24,IPv4,zoho-as401636,global
199.67.84.0/24,IPv4,zoho-as401636,global
199.67.85.0/24,IPv4,zoho-as401636,global
199.67.86.0/24,IPv4,zoho-as401636,global
199.67.87.0/24,IPv4,zoho-as401636,global
199.67.92.0/23,IPv4,zoho-as401636,global
199.67.93.0/24,IPv4,zoho-as401636,global
2604:b0::/32,IPv6,zoho-as401636,global
2604:b0::/48,IPv6,zoho-as401636,global
